"Stonehenge Capital","stonehenge-capital"
"CIBC Capital Partners","cibc-capital-partners"
"Harbinger Ventures","harbinger-ventures"
"WR Hambrecht","wr-hambrecht"
"Merus Capital","merus-capital"
"New Atlantic Ventures","new-atlantic-ventures"
"The Grosvenor Funds","the-grosvenor-funds"
"SoftTech VC","softtech-vc"
"Gunderson Dettmer","gunderson-dettmer"
"Fortis","fortis"
"DFJ Portage Ventures","dfj-portage-ventures"
"New World Ventures","new-world-ventures"
"Oak Hill Capital Partners","oak-hill-capital-partners"
"Foundry Group","foundry-group"
"Clarium Capital","clarium-capital"
"Fuse Capital","fuse-capital"
"Baring Vostok Capital Partners","baring-vostok-capital-partners"
"European Bank for Reconstruction and Development (EBRD)","european-bank-for-reconstruction-and-development-ebrd"
"Carrington Equity","carrington-equity"
"Ammer!Partners","ammer-partners"
"Geitner Investment","geitner-investment"
"Persistency Capital","persistency-capital"
"Gund Investment, LLC","gund-investment-llc"
"Bergstein","bergstein"
"Esprit Capital Partners","esprit-capital-partners"
"Midatel","midatel"
"Northcap Partners","northcap-partners"
"Wilson Sonsini Goodrich & Rosati","wilson-sonsini-goodrich-rosati"
"Aeris Capital","aeris-capital"
"Connecticut Innovations","connecticut-innovations"
"Info Edge","info-edge"
"Strategis Early Ventures","strategis-early-ventures"
"Sacramento Angels","sacramento-angels"
"Sierra Angels","sierra-angels"
"Celtic House Venture Partners","celtic-house-venture-partners"
"EdgeStone Capital Partners","edgestone-capital-partners"
"Tech Capital Partners","tech-capital-partners"
"TVC Capital","tvc-capital"
"The Hillman Company","the-hillman-company"
"b-to-v Partners AG","brainstoventures"
"Gemini Israel Funds","gemini-israel-funds"
"EDF Ventures","edf-ventures"
"Hudson Ventures","hudson-ventures"
"Revolution Ventures","revolution-ventures"
"Servisen Investment Management","servisen"
"Elaia Partners","elaia-partners"
"The Logia Group","the-logia-group"
"National Science Foundation","national-science-foundation"
"DN Capital","dn-capital"
"KTB Ventures","ktb-ventures"
"Translink Capital","translink-capital"
"ITOCHU Corporation","itochu-corporation"
"Hellman and Friedman","hellman-and-friedman"
"ConsensusOne Ventures","consenseone-ventures"
"Carlyle Group","carlyle-group"
"ITU Ventures","itu-ventures"
"BMJP","bmjp"
"GMT Capital","gmt-capital"
"Gefinor Ventures","gefinor-ventures"
"Ampersand Capital Partners","ampersand-ventures"
"Vantis Capital Management","vantis-capital-management"
"Ridgewood Capital","ridgewood-capital"
"IDG Capital Partners","idg-ventures-china"
"IDG Ventures Vietnam","idg-ventures-vietnam"
"Topspin Partners","topspin-partners"
"New York City Investment Fund","new-york-city-investment-fund"
"AdInvest","adinvest"
"Genesis Inventions, L.P.","genesis-inventions-l-p"
"Innovacorp","innovacorp"
"MHS Capital","mhs-capital"
"White Sand Group","white-sand-group"
"Divergent Ventures","divergent-ventures-2"
"Active Venture Partners","active-capital-partners"
"D.E. Shaw & Co.","d-e-shaw-co"
"Catapult Advisors","catapult-advisors"
"SEB Venture Capital","seb-venture-capital"
"TTP Ventures","ttp-ventures"
"T4Media","t4media"
"SCF Arizona","scf-arizona"
"Lunatech Ventures","lunatech-ventures"
"Orange Ventures","orange-ventures"
"InOvate Communications Group","inovate-communications-group"
"Diamondhead Ventures","diamondhead-ventures"
"Venture Strategy Partners","venture-strategy-partners"
"CEI Community Ventures","cei-community-ventures"
"Small Enterprise Growth Fund of Maine","small-enterprise-growth-fund-of-maine"
"Stanford University","stanford-university"
"University of California Berkeley","university-of-california-berkeley"
"RSS Investors Fund","rss-investors-fund"
"InterSouth Partners","intersouth-partners"
"VenGlobal Capital","venglobal-capital"
"European Union","european-union"
"Amicus Capital","amicus-capital"
"JC6","jc6"
"Pembridge Partners","pembridge-partners"
"Walden International","walden-international"
"EMAR Publishers","wirelessmatch"
"EXA Ventures","exa-ventures"
"Triangle Venture Capital Group","triangle-venture-capital-group"
"FTVentures","ftventures"
"Dubilier & Company","dubilier-company"
"Voyager Capital","voyager-capital"
"Wesley Clover","wesley-clover"
"HT Ventures","ht-ventures"
"Hubert Burda Media","hubert-burda-media"
"Advanced Equities","advanced-equities"
"LGiLab","lgilab"
"Zone Ventures","zone-ventures"
"Montgomery & Co","montgomery-co"
"Giza Venture Capital","giza-venture-capital"
"Ofer Hi-Tech","ofer-hi-tech"
